Split,Class,Filename,Area,Perimeter,Width,Height,Aspect_Ratio,Mean_Hue,Mean_Saturation,Mean_Value,Mean_Brightness
train,negative,negative_014.png,34961.0,817.9310202598572,213,168,1.2678571428571428,88.69449166666666,157.94526666666667,64.01335,55.04216666666667
train,negative,negative_003.png,24119.0,685.1614682674408,188,132,1.4242424242424243,64.48846666666667,168.6325,43.090175,38.39795
train,negative,negative_015.png,26965.0,726.1320307254791,199,139,1.4316546762589928,75.61994166666666,164.02821666666668,50.60840833333334,45.2528
train,negative,negative_017.png,25430.0,728.9604578018188,220,119,1.8487394957983194,60.88086666666667,168.93526666666668,46.87184166666667,42.17455833333333
train,negative,negative_013.png,33213.0,806.2152910232544,205,166,1.2349397590361446,57.97515,156.02418333333333,61.21756666666667,56.777233333333335
train,negative,negative_019.png,35693.0,826.4163014888763,211,173,1.2196531791907514,54.805566666666664,152.88054166666666,65.83874166666666,60.99941666666667
train,negative,negative_020.png,31695.0,826.558436870575,254,128,1.984375,70.307125,160.21773333333334,58.871,52.98735
train,negative,negative_016.png,26835.0,767.1025931835175,242,114,2.1228070175438596,75.666625,165.73015,49.31433333333333,42.712741666666666
train,negative,negative_007.png,21823.0,645.8477599620819,169,133,1.2706766917293233,70.80613333333334,175.11206666666666,42.24303333333334,35.568125
train,negative,negative_001.png,30572.0,757.64674949646,191,164,1.1646341463414633,72.43705833333334,160.8944,58.23513333333333,51.81088333333334
train,negative,negative_004.png,37425.0,857.3868639469147,232,165,1.406060606060606,62.55805,154.78010833333335,69.71921666666667,63.033
train,negative,negative_018.png,27811.0,731.1025931835175,176,162,1.0864197530864197,64.72164166666667,164.58338333333333,49.740516666666664,44.904583333333335
train,negative,negative_012.png,28149.0,775.7300097942352,233,124,1.8790322580645162,69.74026666666667,165.24649166666666,54.02675,48.224716666666666
train,negative,negative_009.png,35879.0,847.5289993286133,231,159,1.4528301886792452,52.144758333333336,157.358675,68.0648,62.79601666666667
train,negative,negative_005.png,27639.0,721.5046141147614,188,151,1.2450331125827814,66.360475,165.55005833333334,51.78084166666667,46.677875
train,negative,negative_006.png,25799.0,708.4751765727997,192,138,1.391304347826087,73.39189166666667,166.81970833333332,45.09139166666667,39.64680833333333
train,negative,negative_011.png,26634.0,770.6173119544983,249,110,2.2636363636363637,65.13795,164.43688333333333,50.902433333333335,46.182066666666664
train,negative,negative_010.png,32972.0,819.7300097942352,236,143,1.6503496503496504,65.19905,160.002875,59.80059166666667,53.99883333333333
train,negative,negative_002.png,23255.0,714.6173119544983,224,107,2.0934579439252334,72.72130833333334,171.01601666666667,43.841258333333336,37.858775
train,negative,negative_008.png,25303.0,719.1025931835175,205,127,1.6141732283464567,67.49973333333334,167.2644,46.78155833333334,42.036625
train,positive,positive_017.png,27821.0,758.2741661071777,225,127,1.7716535433070866,62.10624166666667,201.7347,60.292608333333334,29.522425
train,positive,positive_008.png,25968.0,703.64674949646,179,149,1.2013422818791946,85.201425,205.0808,48.30681666666667,21.868
train,positive,positive_012.png,30381.0,774.9604578018188,221,141,1.5673758865248226,48.61776666666667,204.84535,59.12788333333334,28.952891666666666
train,positive,positive_005.png,28482.0,741.445739030838,191,153,1.2483660130718954,49.543641666666666,201.63598333333334,48.964133333333336,28.575375
train,positive,positive_013.png,30523.0,774.4751765727997,222,141,1.574468085106383,48.331891666666664,199.4256,50.69813333333333,29.231125
train,positive,positive_007.png,30891.0,775.9310202598572,207,153,1.3529411764705883,54.7545,204.924475,56.91105,26.623975
train,positive,positive_003.png,36436.0,835.5878744125366,218,171,1.2748538011695907,45.694491666666664,192.5176,63.181808333333336,38.82185833333333
train,positive,positive_020.png,35921.0,832.4163014888763,220,167,1.3173652694610778,88.22206666666666,203.47730833333333,65.04080833333333,29.933275
train,positive,positive_019.png,42848.0,917.8721451759338,253,173,1.4624277456647399,43.325541666666666,190.604275,68.85505833333333,44.50775
train,positive,positive_018.png,30651.0,789.445739030838,233,135,1.7259259259259259,50.124425,200.43044166666667,69.075725,35.770041666666664
train,positive,positive_004.png,33103.0,827.2447285652161,246,138,1.7826086956521738,50.68629166666667,191.50385833333334,56.4146,34.06005833333333
train,positive,positive_016.png,33625.0,817.7300097942352,225,153,1.4705882352941178,54.99890833333333,203.60354166666667,70.88615,33.56004166666666
train,positive,positive_002.png,38877.0,871.1025931835175,247,161,1.5341614906832297,44.55815833333333,197.74168333333333,64.69535833333333,36.91640833333334
train,positive,positive_010.png,23774.0,702.9604578018188,209,117,1.7863247863247864,50.98381666666667,204.00660833333333,54.91405,29.07845
train,positive,positive_009.png,30740.0,787.9310202598572,227,139,1.6330935251798562,90.387775,203.18443333333335,64.16285,30.032825
train,positive,positive_011.png,34065.0,824.1320307254791,244,143,1.7062937062937062,46.39635833333333,198.47305,63.169383333333336,37.0286
train,positive,positive_006.png,28369.0,757.445739030838,219,133,1.6466165413533835,60.89584166666667,199.30269166666668,62.93001666666667,32.3218
train,positive,positive_001.png,24835.0,714.2741661071777,206,124,1.6612903225806452,67.69658333333334,203.39530833333333,47.27659166666667,22.405991666666665
train,positive,positive_014.png,31203.0,778.2741661071777,209,153,1.3660130718954249,48.13453333333333,192.58569166666666,52.186975,32.967175
train,positive,positive_015.png,34130.0,837.8721451759338,241,145,1.6620689655172414,47.03321666666667,204.60028333333332,72.422025,40.20698333333333
train,inconclusive,inconclusive_015.png,26240.0,727.445739030838,206,131,1.5725190839694656,81.23455,178.23199166666666,40.176633333333335,29.768466666666665
train,inconclusive,inconclusive_003.png,30678.0,769.64674949646,214,147,1.4557823129251701,72.40680833333333,176.15104166666666,50.1802,36.711725
train,inconclusive,inconclusive_009.png,26426.0,715.64674949646,194,140,1.3857142857142857,82.17270833333333,184.56915,40.840833333333336,27.468633333333333
train,inconclusive,inconclusive_006.png,37670.0,863.445739030838,252,153,1.6470588235294117,51.3576,165.18931666666666,61.36265,49.070525
train,inconclusive,inconclusive_001.png,26882.0,725.2447285652161,179,154,1.1623376623376624,86.05840833333333,187.50614166666668,45.4273,29.200258333333334
train,inconclusive,inconclusive_005.png,24486.0,698.9604578018188,194,130,1.4923076923076923,67.91116666666667,168.55089166666667,32.58495,28.234583333333333
train,inconclusive,inconclusive_008.png,21691.0,648.534051656723,183,122,1.5,55.66690833333333,180.57081666666667,30.740816666666667,25.595058333333334
train,inconclusive,inconclusive_004.png,39401.0,877.5878744125366,246,164,1.5,73.75471666666667,167.40775,61.64476666666667,46.06285
train,inconclusive,inconclusive_013.png,35907.0,851.5878744125366,250,147,1.7006802721088434,75.919875,152.495475,43.92134166666666,38.543325
train,inconclusive,inconclusive_020.png,32242.0,778.1320307254791,191,173,1.1040462427745665,56.302683333333334,172.62846666666667,54.301458333333336,41.84115833333333
train,inconclusive,inconclusive_016.png,43479.0,921.0437180995941,251,177,1.4180790960451977,84.47148333333334,165.387175,63.96435833333334,46.62596666666666
train,inconclusive,inconclusive_002.png,32817.0,796.0731556415558,200,168,1.1904761904761905,50.07190833333333,170.09879166666667,53.47694166666667,44.157358333333335
